도로종류,기상상태,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,맑음,16479,427,4985,19509,1354
일반국도,흐림,796,33,258,874,81
일반국도,비,1326,49,433,1573,93
일반국도,안개,43,6,22,37,0
일반국도,눈,165,4,48,221,20
일반국도,기타/불명,174,5,57,212,15
지방도,맑음,12256,271,3972,13464,1155
지방도,흐림,507,26,164,550,42
지방도,비,911,30,315,1061,77
지방도,안개,37,4,17,28,4
지방도,눈,138,4,39,173,12
지방도,기타/불명,142,6,48,141,15
특별광역시도,맑음,70945,557,17436,74588,5945
특별광역시도,흐림,2568,37,674,2570,190
특별광역시도,비,5286,65,1298,5675,397
특별광역시도,안개,14,1,4,16,1
특별광역시도,눈,463,3,80,601,25
특별광역시도,기타/불명,829,4,173,848,74
시도,맑음,57822,681,16158,62232,4016
시도,흐림,2211,57,678,2271,132
시도,비,4384,71,1259,4819,277
시도,안개,76,9,29,65,8
시도,눈,426,6,98,543,35
시도,기타/불명,576,10,155,587,44
군도,맑음,6008,174,2369,5757,428
군도,흐림,283,16,122,236,16
군도,비,421,12,160,413,25
군도,안개,18,0,7,19,0
군도,눈,53,1,15,63,3
군도,기타/불명,65,5,17,68,1
고속국도,맑음,4255,138,1331,6582,566
고속국도,흐림,147,16,52,216,20
고속국도,비,403,29,161,553,63
고속국도,안개,10,2,10,13,1
고속국도,눈,61,4,29,81,14
고속국도,기타/불명,7,2,9,7,0
기타,맑음,11148,124,2821,10918,1100
기타,흐림,470,12,114,454,63
기타,비,642,11,160,637,56
기타,안개,9,0,3,8,2
기타,눈,89,1,11,96,10
기타,기타/불명,467,3,114,504,40
