"도로종류별(1)","기상상태별(1)","월별(1)",2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
"도로종류별(1)","기상상태별(1)","월별(1)",사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명),사고건수 (건),사망자수 (명),부상자수 (명)
"일반국도","맑음","전체",15492,597,26115,15872,512,26268,17908,471,29873,16454,452,26371,16479,427,25848
"일반국도","흐림","전체",694,56,1157,702,37,1232,652,32,1093,804,39,1221,796,33,1213
"일반국도","비","전체",1021,56,1801,1325,65,2248,1344,30,2239,1477,55,2430,1326,49,2099
"일반국도","안개","전체",42,5,79,74,9,134,59,3,91,44,3,64,43,6,59
"일반국도","눈","전체",168,3,313,254,8,467,70,0,152,83,1,152,165,4,289
"일반국도","기타/불명","전체",102,5,163,114,4,185,133,5,194,183,8,274,174,5,284
"지방도","맑음","전체",14905,484,22859,13744,418,21609,14957,394,23630,12469,318,19204,12256,271,18591
"지방도","흐림","전체",712,38,1160,662,35,1032,568,34,901,556,20,835,507,26,756
"지방도","비","전체",830,38,1373,1024,47,1642,1083,27,1666,1078,42,1631,911,30,1453
"지방도","안개","전체",40,4,64,49,5,79,42,2,69,27,2,45,37,4,49
"지방도","눈","전체",152,6,243,202,5,374,40,0,71,74,1,117,138,4,224
"지방도","기타/불명","전체",133,1,193,92,3,128,105,5,138,122,8,173,142,6,204
"특별광역시도","맑음","전체",79967,849,114062,77482,715,110805,82866,613,118402,74248,543,104429,70945,557,97969
"특별광역시도","흐림","전체",2920,63,4113,2756,54,4038,2622,40,3722,2639,43,3687,2568,37,3434
"특별광역시도","비","전체",4443,58,6600,5700,77,8223,5681,64,8195,6352,65,9187,5286,65,7370
"특별광역시도","안개","전체",22,1,37,18,3,19,15,0,23,10,1,15,14,1,21
"특별광역시도","눈","전체",438,6,672,483,4,724,97,0,139,157,0,232,463,3,706
"특별광역시도","기타/불명","전체",441,5,600,544,3,811,514,2,694,640,8,888,829,4,1095
"시도","맑음","전체",67170,1055,99203,65546,925,96965,67552,840,99863,61845,746,89735,57822,681,82406
"시도","흐림","전체",2185,62,3399,2194,63,3318,2076,47,2972,2349,53,3464,2211,57,3081
"시도","비","전체",3783,74,5816,5088,91,7560,4824,74,7369,5352,94,7932,4384,71,6355
"시도","안개","전체",55,3,92,93,7,158,67,3,124,48,2,84,76,9,102
"시도","눈","전체",437,12,743,524,4,816,152,4,225,209,1,324,426,6,676
"시도","기타/불명","전체",451,4,724,288,4,406,282,3,398,426,3,600,576,10,786
"군도","맑음","전체",7636,260,10994,6665,231,9599,7096,221,10247,6670,183,9495,6008,174,8554
"군도","흐림","전체",318,19,517,360,17,498,288,16,421,346,16,485,283,16,374
"군도","비","전체",377,17,541,461,16,683,443,18,650,520,17,795,421,12,598
"군도","안개","전체",18,2,23,21,1,31,22,1,55,21,0,32,18,0,26
"군도","눈","전체",59,3,86,79,2,115,17,1,37,33,1,51,53,1,81
"군도","기타/불명","전체",17,0,19,30,0,40,15,1,24,55,3,75,65,5,86
"고속국도","맑음","전체",3613,195,8573,3459,179,7669,3757,171,8505,3489,159,7190,4255,138,8479
"고속국도","흐림","전체",183,17,396,157,28,291,126,13,290,130,18,314,147,16,288
"고속국도","비","전체",281,30,634,394,39,809,314,19,660,379,37,751,403,29,777
"고속국도","안개","전체",5,1,22,12,3,23,8,0,17,4,0,6,10,2,24
"고속국도","눈","전체",60,5,148,51,3,106,15,3,41,25,7,102,61,4,124
"고속국도","기타/불명","전체",4,0,5,6,0,15,3,0,8,12,2,26,7,2,16
"기타/불명","맑음","전체",6526,135,8450,9372,133,12242,12355,169,16588,9040,108,12027,11148,124,14839
"기타/불명","흐림","전체",213,7,276,416,12,534,426,9,550,392,15,522,470,12,631
"기타/불명","비","전체",284,5,389,553,15,754,688,12,944,590,5,823,642,11,853
"기타/불명","안개","전체",5,1,6,15,1,18,18,0,32,11,0,13,9,0,13
"기타/불명","눈","전체",29,2,35,70,0,115,26,0,43,34,1,46,89,1,117
"기타/불명","기타/불명","전체",104,1,134,197,3,254,274,2,357,257,1,347,467,3,658
