월,2017,2018,2019,2020,2021
1월,5.128205128205128,6.25,2.5547445255474455,3.076923076923077,8.571428571428571
2월,4.672897196261682,6.26865671641791,2.631578947368421,2.3529411764705883,8.144796380090497
3월,4.545454545454546,6.5375302663438255,2.312138728323699,2.336448598130841,7.526881720430108
4월,4.744525547445255,6.122448979591836,2.2408963585434174,2.2522522522522523,7.446808510638298
5월,4.609929078014184,6.196581196581197,2.2222222222222223,2.109704641350211,7.317073170731707
6월,4.593639575971731,6.13107822410148,2.1447721179624666,2.8925619834710745,7.07070707070707
7월,4.377104377104377,6.105263157894736,2.083333333333333,2.8688524590163933,6.9306930693069315
8월,4.9504950495049505,6.041666666666667,2.030456852791878,2.7777777777777777,6.8181818181818175
9월,5.0,5.906313645621181,2.142857142857143,2.9962546816479403,6.962025316455696
10월,6.122448979591836,10.606060606060606,3.4482758620689653,2.857142857142857,11.627906976744185
11월,4.545454545454546,6.521739130434782,1.2195121951219512,2.5974025974025974,8.49056603773585
12월,4.430379746835443,6.474820143884892,2.3255813953488373,2.459016393442623,8.522727272727272
